v1,v2
ham,But my family not responding for anything. Now am in room not went to home for diwali but no one called me and why not coming. It makes me feel like died.
ham,Ok. So april. Cant wait
ham,Will Ì_ b going to esplanade fr home?
ham,5 nights...We nt staying at port step liao...Too ex
ham,Where are the garage keys? They aren't on the bookshelf
ham,K actually can you guys meet me at the sunoco on howard? It should be right on the way
ham,Friendship poem: Dear O Dear U R Not Near But I Can Hear Dont Get Fear Live With Cheer No More Tear U R Always my Dear. Gud ni8
ham,Sorry for the delay. Yes masters
ham,"My friend just got here and says he's upping his order by a few grams (he's got $ &lt;#&gt; ), when can you get here?"
spam,Burger King - Wanna play footy at a top stadium? Get 2 Burger King before 1st Sept and go Large or Super with Coca-Cola and walk out a winner
ham,Tell your friends what you plan to do on Valentines day @ &lt;URL&gt;
ham,"Cool, what time you think you can get here?"
ham,"Alright we'll bring it to you, see you in like  &lt;#&gt;  mins"
spam,For sale - arsenal dartboard. Good condition but no doubles or trebles!
ham,"Den only weekdays got special price... Haiz... Cant eat liao... Cut nails oso muz wait until i finish drivin wat, lunch still muz eat wat... "
spam,"URGENT! Your mobile No 077xxx WON a å£2,000 Bonus Caller Prize on 02/06/03! This is the 2nd attempt to reach YOU! Call 09066362206 ASAP! BOX97N7QP, 150ppm"
ham,Even u dont get in trouble while convincing..just tel him once or twice and just tel neglect his msgs dont c and read it..just dont reply
ham,Are u awake? Is there snow there?
ham,We not leaving yet. Ok lor then we go elsewhere n eat. U thk...
ham,Yes da. Any plm at ur office
ham,Mom wants to know where you at
ham,"V-aluable. A-ffectionate. L-oveable. E-ternal. N-oble. T-ruthful. I-ntimate. N-atural. E-namous. Happy \VALENTINES DAY\"" in advance"""
ham,Hey now am free you can call me.
ham,Yunny... I'm goin to be late
spam,Cashbin.co.uk (Get lots of cash this weekend!) www.cashbin.co.uk Dear Welcome to the weekend We have got our biggest and best EVER cash give away!! These..
ham,Really do hope the work doesnt get stressful. Have a gr8 day.
spam,Your next amazing xxx PICSFREE1 video will be sent to you enjoy! If one vid is not enough for 2day text back the keyword PICSFREE1 to get the next video.
ham,I'm sorry. I've joined the league of people that dont keep in touch. You mean a great deal to me. You have been a friend at all times even at great personal cost. Do have a great week.|
ham,Id have to check but there's only like 1 bowls worth left
ham,This is wishing you a great day. Moji told me about your offer and as always i was speechless. You offer so easily to go to great lengths on my behalf and its stunning. My exam is next friday. After that i will keep in touch more. Sorry.
ham,"K, can I pick up another 8th when you're done?"
ham,PS U no ur a grown up now right?
ham,The greatest test of courage on earth is to bear defeat without losing heart....gn tc
ham,"So you think i should actually talk to him? Not call his boss in the morning? I went to this place last year and he told me where i could go and get my car fixed cheaper. He kept telling me today how much he hoped i would come back in, how he always regretted not getting my number, etc."
ham,THANX4 TODAY CER IT WAS NICE 2 CATCH UP BUT WE AVE 2 FIND MORE TIME MORE OFTEN OH WELL TAKE CARE C U SOON.C
ham,"Oh! Shit, I thought that was your trip! Loooooool ... That just makes SO much more sense now ... *grins* and the sofa reference was ... The \sleep on a couch\"" link you sent me ... Wasn't that how you went on your trip ? Oh ... And didn't your babe go with you for that celebration with your rents?"""
ham,"Good afternoon, my love ... How goes your day ? How did you sleep ? I hope your well, my boytoy ... I think of you ..."
ham,what I meant to say is cant wait to see u again getting bored of this bridgwater banter
spam,"You've won tkts to the EURO2004 CUP FINAL or å£800 CASH, to collect CALL 09058099801 b4190604, POBOX 7876150ppm"
ham,No problem. Talk to you later
ham,Pls dont forget to study
spam,22 days to kick off! For Euro2004 U will be kept up to date with the latest news and results daily. To be removed send GET TXT STOP to 83222
ham,Message:some text missing* Sender:Name Missing* *Number Missing *Sent:Date missing *Missing U a lot thats y everything is missing sent via fullonsms.com
ham,How r Ì_ going to send it to me?
ham,"Sorry I missed you babe. I was up late and slept in. I hope you enjoy your driving lesson, boytoy. I miss you too ... *teasing kiss*"
ham,Am watching house ÛÒ very entertaining ÛÒ am getting the whole hugh laurie thing ÛÒ even with the stick ÛÒ indeed especially with the stick.
spam,"Thank you, winner notified by sms. Good Luck! No future marketing reply STOP to 84122 customer services 08450542832"
ham,Aiyo a bit pai seh Ì_ noe... Scared he dun rem who i am then die... Hee... But he become better lookin oredi leh...
ham,"I'm outside islands, head towards hard rock and you'll run into me"
ham,LOL ... No just was busy
ham,See you there! 
spam,U have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094565
ham,"Sorry, I'll call later in meeting"
ham,* Will have two more cartons off u and is very pleased with shelves
ham,U don't know how stubborn I am. I didn't even want to go to the hospital. I kept telling Mark I'm not a weak sucker. Hospitals are for weak suckers.
ham, &lt;DECIMAL&gt; m but its not a common car here so its better to buy from china or asia. Or if i find it less expensive. I.ll holla
ham,"New Theory: Argument wins d SITUATION, but loses the PERSON. So dont argue with ur friends just.. . . . kick them &amp; say, I'm always correct.!"
ham,Never blame a day in ur life. Good days give u happiness. Bad days give u experience. Both are essential in life! All are Gods blessings! good morning.:
ham,Hey mate. Spoke to the mag people. WeÛ÷re on.  the is deliver by the end of the month. Deliver on the 24th sept. Talk later. 
ham,I guess it is useless calling u 4 something important.
ham,Are you going to write ccna exam this week??
ham,Future is not what we planned for tomorrow.....! it is the result of what we do today...! Do the best in present... enjoy the future.
ham,Then just eat a shit and wait for ur monkey face bitch.......... U asshole..................
spam,WIN a year supply of CDs 4 a store of ur choice worth å£500 & enter our å£100 Weekly draw txt MUSIC to 87066 Ts&Cs www.Ldew.com.subs16+1win150ppmx3
ham,Does cinema plus drink appeal tomo? * Is a fr thriller by director i like on at mac at 8.30.
ham,Oh k:)after that placement there ah?
spam,Summers finally here! Fancy a chat or flirt with sexy singles in yr area? To get MATCHED up just reply SUMMER now. Free 2 Join. OptOut txt STOP Help08714742804
ham,Another month. I need chocolate weed and alcohol.
spam,<Forwarded from 21870000>Hi - this is your Mailbox Messaging SMS alert. You have 4 messages. You have 21 matches. Please call back on 09056242159 to retrieve your messages and matches
ham,Babe? You said 2 hours and it's been almost 4 ... Is your internet down ?
ham,How u doin baby girl ?? hope u are okay every time I call ure phone is off! I miss u get in touch
ham,Jus finish blowing my hair. U finish dinner already?
ham,"Geeee ... I miss you already, you know ? Your all I can think about. Fuck, I can't wait till next year when we will be together ... *loving kiss*"
ham,"aight we can pick some up, you open before tonight?"
ham,"Hi the way I was with u 2day, is the normal way&this is the real me. UR unique&I hope I know u 4 the rest of mylife. Hope u find wot was lost."
ham,One of the joys in lifeis waking up each daywith thoughts that somewhereSomeone cares enough tosend a warm morning greeting.. -
ham,ÌÏ only send me the contents page...
ham,"No, but you told me you were going, before you got drunk!"
ham,Joy's father is John. Then John is the ____ of Joy's father. If u ans ths you hav  &lt;#&gt;  IQ. Tis s IAS question try to answer.
ham,I want  &lt;#&gt;  rs da:)do you have it?
ham,All e best 4 ur exam later.
ham,"Hey. What happened? U switch off ur cell d whole day. This isnt good. Now if u do care, give me a call tomorrow."
ham,Can't take any major roles in community outreach. You rock mel
ham,"Hello.How u doing?What u been up 2?When will u b moving out of the flat, cos I will need to arrange to pick up the lamp, etc. Take care. Hello caroline!"
spam,Guess what! Somebody you know secretly fancies you! Wanna find out who it is? Give us a call on 09065394973 from Landline DATEBox1282EssexCM61XN 150p/min 18
ham,"Thank you. And by the way, I just lost."
ham,Jos ask if u wana meet up?
ham,Oh yah... We never cancel leh... Haha 
ham,I uploaded mine to Facebook
ham,No shoot me. I'm in the docs waiting room. :/
ham,"Aiyo... Her lesson so early... I'm still sleepin, haha... Okie, u go home liao den confirm w me lor..."
ham,Anything lar...
ham,Yup having my lunch buffet now.. U eat already?
spam,"URGENT!! Your 4* Costa Del Sol Holiday or å£5000 await collection. Call 09050090044 Now toClaim. SAE, TC s, POBox334, Stockport, SK38xh, Costå£1.50/pm, Max10mins"
ham,Its a part of checking IQ
ham,Yetunde i'm in class can you not run water on it to make it ok. Pls now.
ham,Yeah jay's sort of a fucking retard
ham,Thanx 4 e brownie it's v nice...
ham,"Get the door, I'm here"
ham,Then u going ikea str aft dat?
ham,No da if you run that it activate the full version da.
ham,No message..no responce..what happend?
spam,Show ur colours! Euro 2004 2-4-1 Offer! Get an England Flag & 3Lions tone on ur phone! Click on the following service message for info!
ham,Yes. Nigh you cant aha.
ham,You can jot down things you want to remember later.
ham,I'm still pretty weak today .. Bad day ?
ham,"Tunde, how are you doing. This is just wishing you a great day. Abiola."
ham,"Poyyarikatur,kolathupalayam,unjalur post,erode dis, &lt;#&gt; ."
ham,"She was supposed to be but couldn't make it, she's still in town though"
spam,"Latest Nokia Mobile or iPOD MP3 Player +å£400 proze GUARANTEED! Reply with: WIN to 83355 now! Norcorp Ltd.å£1,50/Mtmsgrcvd18+"
ham,"Helloooo... Wake up..! \Sweet\"" \""morning\"" \""welcomes\"" \""You\"" \""Enjoy\"" \""This Day\"" \""with full of joy\"".. \""GUD MRNG\""."""
ham,Do you work all this week ?
ham,I'm home. Ard wat time will u reach?
ham,My drive can only be read. I need to write
ham,In that case I guess I'll see you at campus lodge
ham,Will you come online today night
ham,Orh i tot u say she now still dun believe.
ham,Thanks for ve lovely wisheds. You rock
ham,I am going to sao mu today. Will be done only at 12 
ham,No just send to you. Bec you in temple na.
ham,Gud mrng dear have a nice day
ham,"Dear,Me at cherthala.in case u r coming cochin pls call bfore u start.i shall also reach accordingly.or tell me which day u r coming.tmorow i am engaged ans its holiday."
ham,"How is my boy? No sweet words left for me this morning ... *sighs* ... How goes you day, my love ? Did you start your studying?"
ham,I finished my lunch already. U wake up already?
ham,Do u ever get a song stuck in your head for no reason and it won't go away til u listen to it like 5 times?
ham,No dear i do have free messages without any recharge. Hi hi hi
ham,Never try alone to take the weight of a tear that comes out of ur heart and falls through ur eyes... Always remember a STUPID FRIEND is here to share... BSLVYL
ham,Call him and say you not coming today ok and tell them not to fool me like this ok
spam,"Did you hear about the new \Divorce Barbie\""? It comes with all of Ken's stuff!"""
ham,Aight do you still want to get money
spam,-PLS STOP bootydelious (32/F) is inviting you to be her friend. Reply YES-434 or NO-434 See her: www.SMS.ac/u/bootydelious STOP? Send STOP FRND to 62468
ham,This pen thing is beyond a joke. Wont a Biro do? Don't do a masters as can't do this ever again! 
ham,Ho ho - big belly laugh! See ya tomo
ham,Good Morning plz call me sir
ham,Cuz ibored. And don wanna study
spam,Collect your VALENTINE'S weekend to PARIS inc Flight & Hotel + å£200 Prize guaranteed! Text: PARIS to No: 69101. www.rtf.sphosting.com
ham,"Wen ur lovable bcums angry wid u, dnt take it seriously.. Coz being angry is d most childish n true way of showing deep affection, care n luv!.. kettoda manda... Have nice day da."
ham,"Rose for red,red for blood,blood for heart,heart for u. But u for me.... Send tis to all ur friends.. Including me.. If u like me.. If u get back, 1-u r poor in relation! 2-u need some 1 to support 3-u r frnd 2 many 4-some1 luvs u 5+- some1 is praying god to marry u.:-) try it...."
ham,Booked ticket for pongal?
ham,Ok I'm gonna head up to usf in like fifteen minutes
ham,ÌÏ called dad oredi...
ham,Please reserve ticket on saturday eve from chennai to thirunelvali and again from tirunelvali to chennai on sunday eve...i already see in net..no ticket available..i want to book ticket through tackle ..
ham,Good night my dear.. Sleepwell&amp;Take care
ham,Dun need to use dial up juz open da browser n surf...
spam,"FREE2DAY sexy St George's Day pic of Jordan!Txt PIC to 89080 dont miss out, then every wk a saucy celeb!4 more pics c PocketBabe.co.uk 0870241182716 å£3/wk"
ham,Then u ask darren go n pick u lor... But i oso sian tmr haf 2 meet lect...
ham,A little. Meds say take once every 8 hours. It's only been 5 but pain is back. So I took another. Hope I don't die
spam,Ringtone Club: Get the UK singles chart on your mobile each week and choose any top quality ringtone! This message is free of charge.
ham,Thanks a lot for your wishes on my birthday. Thanks you for making my birthday truly memorable.
spam,Knock Knock Txt whose there to 80082 to enter r weekly draw 4 a å£250 gift voucher 4 a store of yr choice. T&Cs www.tkls.com age16 to stoptxtstopå£1.50/week
ham,I'm stuck in da middle of da row on da right hand side of da lt... 
ham,Okie... Thanx...
spam,Ever thought about living a good life with a perfect partner? Just txt back NAME and AGE to join the mobile community. (100p/SMS)
ham,Dun b sad.. It's over.. Dun thk abt it already. Concentrate on ur other papers k.
spam,URGENT! We are trying to contact U. Todays draw shows that you have won a å£2000 prize GUARANTEED. Call 09066358361 from land line. Claim Y87. Valid 12hrs only
spam,Check Out Choose Your Babe Videos @ sms.shsex.netUN fgkslpoPW fgkslpo
ham,Yes princess! I want to catch you with my big strong hands...
ham,Nt joking seriously i told
ham,Convey my regards to him
ham,I will reach office around  &lt;DECIMAL&gt; . &amp; my mobile have problem. You cann't get my voice. So call you asa i'll free
ham,"THATåÕS ALRITE GIRL, U KNOW GAIL IS NEVA WRONG!!TAKE CARE SWEET AND DONåÕT WORRY.C U L8TR HUN!LOVE Yaxxx"
spam,PRIVATE! Your 2003 Account Statement for 07808247860 shows 800 un-redeemed S. I. M. points. Call 08719899229 Identifier Code: 40411 Expires 06/11/04
ham,"Ok thats cool. Its , just off either raglan rd or edward rd. Behind the cricket ground. Gimme ring when ur closeby see you tuesday."
spam,"Get 3 Lions England tone, reply lionm 4 mono or lionp 4 poly. 4 more go 2 www.ringtones.co.uk, the original n best. Tones 3GBP network operator rates apply."
ham,"Time n Smile r the two crucial things in our life. Sometimes time makes us to forget smile, and sometimes someone's smile makes us to forget time gud noon"
ham,"A Boy loved a gal. He propsd bt she didnt mind. He gv lv lttrs, Bt her frnds threw thm. Again d boy decided 2 aproach d gal , dt time a truck was speeding towards d gal. Wn it was about 2 hit d girl,d boy ran like hell n saved her. She asked 'hw cn u run so fast?' D boy replied \Boost is d secret of my energy\"" n instantly d girl shouted \""our energy\"" n Thy lived happily 2gthr drinking boost evrydy Moral of d story:- I hv free msgs:D;): gud ni8"""
ham,The monthly amount is not that terrible and you will not pay anything till 6months after finishing school.
spam,"LookAtMe!: Thanks for your purchase of a video clip from LookAtMe!, you've been charged 35p. Think you can do better? Why not send a video in a MMSto 32323."
ham,Onum ela pa. Normal than.
ham,K:)k:)good:)study well.
ham,Whatsup there. Dont u want to sleep
ham,Let me know how it changes in the next 6hrs. It can even be appendix but you are out of that age range. However its not impossible. So just chill and let me know in 6hrs
ham,Okie...
ham,All e best 4 ur driving tmr :-)
ham,"Storming msg: Wen u lift d phne, u say \HELLO\"" Do u knw wt is d real meaning of HELLO?? . . . It's d name of a girl..! . . . Yes.. And u knw who is dat girl?? \""Margaret Hello\"" She is d girlfrnd f Grahmbell who invnted telphone... . . . . Moral:One can 4get d name of a person"
ham,ÌÏ collecting ur laptop then going to configure da settings izzit?
spam,Please call our customer service representative on 0800 169 6031 between 10am-9pm as you have WON a guaranteed å£1000 cash or å£5000 prize!
ham,"\AH POOR BABY!HOPE URFEELING BETTERSN LUV! PROBTHAT OVERDOSE OF WORK HEY GO CAREFUL SPK 2 U SN LOTS OF LOVEJEN XXX.\"""""
ham,I will cme i want to go to hos 2morow. After that i wil cme. This what i got from her dear what to do. She didnt say any time
ham,You're not sure that I'm not trying to make xavier smoke because I don't want to smoke after being told I smoke too much?
ham,Wait 2 min..stand at bus stop
ham,Okie
ham,2 laptop... I noe infra but too slow lar... I wan fast one
ham,Sorry. || mail? || 
ham,"Night has ended for another day, morning has come in a special way. May you smile like the sunny rays and leaves your worries at the blue blue bay."
ham,Id onluy matters when getting on from offcampus
ham,"I dun thk i'll quit yet... Hmmm, can go jazz ? Yogasana oso can... We can go meet em after our lessons den... "
ham,Hope youåÕre not having too much fun without me!! see u tomorrow love jess x
ham,"\SYMPTOMS\"" when U are in love: \""1.U like listening songs 2.U get stopped where u see the name of your beloved 3.U won't get angry when your"""
ham,Reason is if the team budget is available at last they buy the unsold players for at base rate..
ham,I've sent Ì_ my part..
spam,PRIVATE! Your 2004 Account Statement for 07742676969 shows 786 unredeemed Bonus Points. To claim call 08719180248 Identifier Code: 45239 Expires
ham,Lara said she can loan me  &lt;#&gt; .
ham,Not to worry. I'm sure you'll get it.
ham,Nope i'm not drivin... I neva develop da photos lei...
ham,No da. . Vijay going to talk in jaya tv
ham,Ha! I wouldn't say that I just didn't read anything into way u seemed. I don't like 2 be judgemental....i save that for fridays in the pub!
spam,"FreeMsg Hey U, i just got 1 of these video/pic fones, reply WILD to this txt & ill send U my pics, hurry up Im so bored at work xxx (18 150p/rcvd STOP2stop)"
ham,Oh ok i didnt know what you meant. Yep i am baby jontin
ham,K...k:)why cant you come here and search job:)
ham,Try neva mate!!
ham,I'm gonna say no. Sorry. I would but as normal am starting to panic about time. Sorry again! Are you seeing on Tuesday?
ham,I want to go to perumbavoor
ham,Stupid auto correct on my phone
ham,Love it! I want to flood that pretty pussy with cum...
ham,I ain't answerin no phone at what is actually a pretty reasonable hour but I'm sleepy
ham,HI ITS JESS I DONT KNOW IF YOU ARE AT WORK BUT CALL ME WHEN U CAN IM AT HOME ALL EVE. XXX
spam,Urgent! Please call 09061213237 from a landline. å£5000 cash or a 4* holiday await collection. T &Cs SAE PO Box 177 M227XY. 16+
ham,"Dear, take care. I am just reaching home.love u a lot."
ham,I'm at home n ready...
ham,Did u see what I posted on your Facebook?
ham,"Sir, good morning. Hope you had a good weekend. I called to let you know that i was able to raise  &lt;#&gt;  from my dad. He however said he would make the rest available by mid feb. This amount is still quite short and i was hoping you would help. Do have a good day. Abiola"
ham,Fuck cedar key and fuck her (come over anyway tho)
spam,"URGENT. Important information for 02 user. Today is your lucky day! 2 find out why , log onto http://www.urawinner.com there is a fantastic surprise awaiting you !"
ham,"Thanks again for your reply today. When is ur visa coming in. And r u still buying the gucci and bags. My sister things are not easy, uncle john also has his own bills so i really need to think about how to make my own money. Later sha."
ham,Merry christmas to u too annie!
spam,"Welcome to Select, an O2 service with added benefits. You can now call our specially trained advisors FREE from your mobile by dialling 402."
ham,"I'm in a meeting, call me later at"
ham,I surely dont forgot to come:)i will always be in touch in with you:-)
ham,Hey you around? I've got enough for a half + the ten I owe you
ham,Wat makes some people dearer is not just de happiness dat u feel when u meet them but de pain u feel when u miss dem!!!
spam,WIN a year supply of CDs 4 a store of ur choice worth å£500 & enter our å£100 Weekly draw txt MUSIC to 87066 Ts&Cs www.Ldew.com.subs16+1win150ppmx3
ham,I think it's all still in my car
ham,"K I'll head out in a few mins, see you there"
ham,"We know TAJ MAHAL as symbol of love. But the other lesser known facts 1. Mumtaz was Shahjahan's 4th wife, out of his 7 wifes. 2. Shahjahan killed Mumtaz's husband to marry her. 3. Mumtaz died in her  &lt;#&gt; th delivery. 4. He then married Mumtaz's sister. Question arises where the Hell is the LOVE?:-| -The Great Hari-"
ham,She's borderline but yeah whatever.
ham,I've been trying to reach him without success
ham,Old Orchard near univ. How about you?
ham,Nationwide auto centre (or something like that) on Newport road. I liked them there
ham,Only if you promise your getting out as SOON as you can. And you'll text me in the morning to let me know you made it in ok.
ham,How many times i told in the stage all use to laugh. You not listen aha.
ham,Tiwary to rcb.battle between bang and kochi.
ham,None of that's happening til you get here though
ham,Nope. Meanwhile she talk say make i greet you.
ham,Just wanted to say holy shit you guys weren't kidding about this bud
ham,Hi babe its me thanks for coming even though it didnt go that well!i just wanted my bed! Hope to see you soon love and kisses xxx
ham,"I wake up long ago already... Dunno, what other thing?"
ham,I was gonna ask you lol but i think its at 7
ham,Its good to hear from you
spam,Get a FREE mobile video player FREE movie. To collect text GO to 89105. Its free! Extra films can be ordered t's and c's apply. 18 yrs only
spam,FREE for 1st week! No1 Nokia tone 4 ur mob every week just txt NOKIA to 8007 Get txting and tell ur mates www.getzed.co.uk POBox 36504 W45WQ norm150p/tone 16+
ham,May i call You later Pls
spam,Sorry I missed your call let's talk when you have the time. I'm on 07090201529
ham,Going on nothing great.bye
ham,Ok Chinese food on its way. When I get fat you're paying for my lipo.
ham,"Haven't found a way to get another app for your phone, eh ? Will you go to the net cafe ? Did you take that job? Geeee I need you babe. I crave to see you ..."
spam,"HOT LIVE FANTASIES call now 08707509020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870..k"
spam,Do you want a New Nokia 3510i colour phone DeliveredTomorrow? With 300 free minutes to any mobile + 100 free texts + Free Camcorder reply or call 08000930705.
ham,"Sorry, it's a lot of friend-of-a-friend stuff, I'm just now about to talk to the actual guy who wants to buy"
ham,Ok no prob
ham,Can you please send me my aunty's number
ham,Well you told others you'd marry them...
ham,"Goodnight, sleep well da please take care pa. Please."
spam,Ur cash-balance is currently 500 pounds - to maximize ur cash-in now send COLLECT to 83600 only 150p/msg. CC: 08718720201 PO BOX 114/14 TCR/W1
